TestID,AP_RSSI,AP_TxRate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,Client_RSSI,Client_TxRate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,iPerf_Throughput,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std.Dev,GoPing_Loss,Label 
143,-89,6.5,-95,MCS0,4.2,0.710337,35.699189,-87,6.5,-95,MCS0,3.3,0.575472,743.69,7826.8089296636,15737.68,3115.4944419741,0.95,1
144,-67,65,-95,MCS7,56.9,0.702171,-1,-65,65,-95,MCS7,41.9,0.87989,293.64,923.8497924528,6215.78,806.9183406924,0,0
145,-67,65,-95,MCS7,56.9,0.898473,43.34,-67,65,-95,MCS7,54.6,0.88017,669.19,758.0240909091,866.64,34.4894362166,0,0
146,-68,65,-95,MCS7,56.9,0.89827,43.266667,-66,65,-95,MCS7,52.9,0.880419,660.35,753.4217970402,837.78,32.1337126181,0,0
147,-67,65,-95,MCS7,56.9,0.898302,43.346667,-67,65,-95,MCS7,54.1,0.880445,650.8,756.2693453725,852.07,34.063429617,0,0
148,-68,65,-95,MCS7,56.9,0.898357,-1,-65,65,-95,MCS7,50.9,0.880611,665.34,756.3879115479,859.66,34.634154562,0,0
149,-89,5.5,-95,5.5M,1.9,0.698379,-1,-90,5.5,-95,5.5M,2.7,0.493333,306.55,9985.2340641711,28515.76,9609.0490233185,2.49,1
150,-67,65,-95,MCS7,56.9,0.68195,43.405405,-68,65,-95,MCS7,47.6,0.878999,488,633.3854681648,817.15,78.3222022807,0,0
151,-67,65,-95,MCS7,57.2,0.898988,43.841379,-67,65,-95,MCS7,48,0.839433,1.32,654.263793911,889.27,220.9297218874,0.09,0
152,-67,65,-95,MCS7,56.6,0.900242,43.33,-67,65,-95,MCS7,54.9,0.841863,646.63,754.373059867,878.06,36.0444507471,0,0
153,-68,58.5,-95,MCS6,48.9,0.892736,38.056667,-68,65,-95,MCS7,48.9,0.84219,452.12,866.5347121535,1140.12,69.1130450673,0,1
154,-68,65,-95,MCS7,56.9,0.886509,43.126667,-67,65,-95,MCS7,54.1,0.839713,660.58,760.0078603604,850.73,34.4486812032,0,0
155,-67,65,-95,MCS7,56.9,0.889723,43.353333,-67,65,-95,MCS7,54.1,0.85089,669.61,757.6678993435,843.45,33.670743808,0,0
156,-67,65,-95,MCS7,56.9,0.892041,43.403333,-67,65,-95,MCS7,54.9,0.857816,657.83,758.7456118143,858.57,36.165949714,0,0
157,-68,65,-95,MCS7,51.7,0.893791,43.203333,-67,65,-95,MCS7,54.1,0.861446,678.49,762.0981415929,854.01,32.255832526,0,0
158,-67,65,-95,MCS7,56.9,0.894153,43.303333,-67,65,-95,MCS7,54.9,0.863159,670.42,781.8668141593,1194.39,79.2683924417,0,0
159,-72,52,-95,MCS5,44.5,0.884442,32.446667,-71,52,-95,MCS5,43.6,0.809134,301.13,1001.3319396552,1806.16,148.1087958651,0,1
160,-69,65,-95,MCS7,56.9,0.87342,43.426667,-65,65,-95,MCS7,54.1,0.857698,659.77,757.3991666667,882.96,34.2257225824,0,0
161,-68,65,-95,MCS7,56.9,0.895691,43.872414,-67,65,-95,MCS7,54.1,0.847377,1.62,654.9674444444,869.84,214.9935993991,0.15,0
162,-67,65,-95,MCS7,56.9,0.899764,43.623333,-68,65,-95,MCS7,51.8,0.869313,630.36,756.4757623318,905.27,35.9221100548,0,0
163,-74,52,-95,MCS5,39,0.812123,28.26,-74,52,-95,MCS5,38.7,0.735139,727.86,1193.0324215247,1543.68,104.6485326063,0,1
164,-67,65,-95,MCS7,56.9,0.814433,42.52,-65,65,-95,MCS7,54.1,0.742239,554.08,758.9982952183,861.39,36.1635395118,0,0
165,-67,65,-95,MCS7,54.6,0.896443,43.166667,-68,65,-95,MCS7,54.1,0.865166,665.14,759.816612529,884.87,34.0184475699,0,0
166,-67,65,-95,MCS7,56.9,0.896177,43.46,-68,65,-95,MCS7,48.6,0.770344,553.15,756.4493563218,841.76,36.3332262749,0,0
167,-67,65,-95,MCS7,56.9,0.896871,43.636667,-67,65,-95,MCS7,51.2,0.871511,669.16,753.8827272727,852.07,33.9382907827,0,0
168,-68,65,-95,MCS7,56.3,0.898109,43.083333,-68,65,-95,MCS7,50.8,0.873837,552.6,781.8703694581,2343.39,163.1654758247,0.11,0
169,-76,39,-95,MCS4,33.7,0.898177,24.05,-76,39,-95,MCS4,29.4,0.699704,651.74,1347.6571919192,1999.72,251.0902153861,0,1
170,-68,65,-95,MCS7,56.9,0.896526,42.176667,-68,65,-95,MCS7,54.9,0.74772,654.77,757.3369333333,955.14,37.1487316454,0,0
171,-69,65,-95,MCS7,56.9,0.903743,44.12069,-68,65,-95,MCS7,48,0.834238,1.61,664.1438461538,1032.22,209.0541305849,0.16,0
172,-67,65,-95,MCS7,53.5,0.902355,43.29,-67,65,-95,MCS7,48.3,0.834878,668.81,758.2341008772,856.01,35.0102844549,0,0
173,-79,26,-95,MCS3,22.4,0.610342,17.846667,-79,39,-95,MCS4,23.1,0.677966,695.1,1979.1368763558,2461.18,193.3908329963,0,1
174,-67,65,-95,MCS7,57.2,0.607019,41.773333,-68,65,-95,MCS7,27.1,0.679245,657.92,765.4159221311,1486.97,82.7861321441,0,0
175,-67,65,-95,MCS7,56.9,0.8982,43.213333,-67,65,-95,MCS7,54.1,0.861587,678.3,763.1830866808,848.36,32.431055005,0,0
176,-67,65,-95,MCS7,56.9,0.897421,43.12,-67,65,-95,MCS7,50.5,0.865323,674.11,756.3311136364,864.92,34.1912165008,0,0
177,-67,65,-95,MCS7,56.9,0.897548,43.373333,-67,65,-95,MCS7,54.1,0.867838,676.59,757.952787234,853.62,33.1739493171,0,0
178,-67,65,-95,MCS7,56.9,0.898006,43.276667,-65,65,-95,MCS7,54.1,0.87023,290.52,787.3979372197,3692.96,330.9762300371,0.27,0
179,-82,19.5,-95,MCS2,16.7,0.897969,14.308421,-82,19.5,-95,MCS2,16.1,0.726621,508.47,1892.5787056367,2972.92,756.5517636149,0,1
180,-68,65,-95,MCS7,56.9,0.897008,41.486667,-68,65,-95,MCS7,54.1,0.708926,690.2,761.813538874,853.98,32.555575717,0,0
181,-66,65,-95,MCS7,56.9,0.896,43.965517,-67,65,-95,MCS7,54.1,0.85046,1.54,659.058812095,1146.66,219.2486668006,0.09,0
182,-67,65,-95,MCS7,56.9,0.900698,43.353333,-67,65,-95,MCS7,54.9,0.87809,668.43,754.1992626728,841.39,33.8049199976,0,0
183,-85,13,-95,MCS1,10.5,0.668687,9.069,-86,13,-95,MCS2,10.6,0.685576,643.2,3405.3715417559,4521.43,850.5426190721,0.04,1
184,-68,65,-95,MCS7,56.9,0.897461,42.41,-68,65,-95,MCS7,50.6,0.874117,682.52,755.6636811024,847.29,32.1907778162,0,0
185,-68,65,-95,MCS7,54.9,0.897136,43.216667,-68,65,-95,MCS7,54.1,0.866825,685.09,758.5362385321,855.74,33.8843272487,0,0
186,-67,65,-95,MCS7,56.9,0.897322,43.45,-68,65,-95,MCS7,54.1,0.87613,598.1,755.2577253219,895.62,35.3090245242,0,0
187,-67,65,-95,MCS7,57.2,0.898081,43.436667,-66,65,-95,MCS7,54.1,0.871963,522.38,759.0293873085,1013.62,47.3699588769,0,0
188,-68,65,-95,MCS7,56.9,0.898987,43.453333,-67,65,-95,MCS7,51.2,0.870354,471.1,1340.1775764706,8221.6,1662.2354823243,0.01,0
189,-87,6.5,-95,MCS0,5.6,0.899503,5.218,-86,13,-95,MCS1,7.1,0.673836,481.07,5278.4627562642,8667.77,2330.8128023053,0.43,1
190,-67,65,-95,MCS7,57.2,0.899102,42.48,-66,65,-95,MCS7,54.1,0.869966,678.37,752.8649726776,847.72,31.8943599837,0,0
191,-68,65,-95,MCS7,35,0.889315,43.67931,-67,65,-95,MCS7,54.1,0.880903,38.59,676.1185336049,858.46,194.0823777362,0.1,0
192,-68,65,-95,MCS7,56.1,0.894294,43.356667,-67,65,-95,MCS7,54.1,0.866429,638.51,757.9079084967,976.4,36.4604200177,0,0
193,-88,5.5,-95,5.5M,3.5,0.856867,39.275758,-88,11,-95,11.0M,3.6,0.550918,146.78,3663.127084399,13905.66,2766.617116099,0.72,1
194,-67,65,-95,MCS7,56.9,0.868756,-1,-67,65,-95,MCS7,54.3,0.868941,336.5,716.6598962656,841.46,84.1595704192,0,0
195,-68,65,-95,MCS7,56.6,0.897368,43.193333,-67,65,-95,MCS7,54.9,0.871212,681.98,761.1202922756,871.13,34.3992110763,0,0
196,-68,65,-95,MCS7,54.4,0.897831,43.143333,-66,65,-95,MCS7,54.9,0.871884,654.87,757.5945606695,852.63,34.7369054964,0,0
197,-67,65,-95,MCS7,57.2,0.897429,43.453333,-67,65,-95,MCS7,47.4,0.868667,620.74,754.3160731707,857.41,35.7692876838,0,0
198,-68,65,-95,MCS7,56.9,0.898415,43.41,-67,65,-95,MCS7,51.2,0.869174,660.5,756.082,847.39,32.8384557566,0,0
199,-88,5.5,-95,5.5M,1.8,0.74982,-1,-90,5.5,-95,5.5M,2.5,0.820312,208.23,7372.2440669857,30988.05,9115.2741552406,1.9,1
200,-68,65,-95,MCS7,56.9,0.737976,45.1,-66,65,-95,MCS7,49.2,0.865173,319.78,543.7510357143,803.03,94.2493395202,0,0
201,-67,65,-95,MCS7,53.4,0.882677,43.893103,-68,65,-95,MCS7,48.8,0.854502,1.63,656.3828444444,896.88,204.6266536368,0.06,0
202,-68,65,-95,MCS7,56.9,0.900631,43.463333,-68,65,-95,MCS7,54.9,0.863026,360.49,758.5988744589,1352.42,71.4132003909,0,0
203,-71,58.5,-95,MCS6,48.8,0.887247,38.736667,-67,65,-95,MCS7,45.7,0.848771,378.04,870.1197684211,1366.15,99.6670439759,0,1
204,-67,65,-95,MCS7,56.9,0.884175,42.99,-67,65,-95,MCS7,53.4,0.842839,632.32,758.6835820896,948.58,37.8965718412,0,0
205,-68,65,-95,MCS7,56.9,0.887586,43.37,-68,65,-95,MCS7,54.1,0.852755,662.8,752.6550528541,870.72,32.8491364094,0,0
206,-68,65,-95,MCS7,56.9,0.890267,43.41,-65,65,-95,MCS7,55.6,0.85864,666.54,757.3617409766,840.94,32.3153306736,0,0
207,-68,65,-95,MCS7,55.6,0.891806,43.22,-67,65,-95,MCS7,51.2,0.862522,662.3,756.2189777778,854.95,34.0927890756,0,0
208,-68,65,-95,MCS7,56.9,0.892586,43.593333,-69,65,-95,MCS7,55.6,0.858151,468.07,765.8745869565,1242.28,76.858258709,0,0
209,-70,58.5,-95,MCS6,44.5,0.882844,33.723333,-71,58.5,-95,MCS6,39,0.818349,438.07,993.644829932,1383.41,117.733094431,0,1
210,-68,65,-95,MCS7,56.9,0.893076,42.483333,-68,65,-95,MCS7,42.8,0.814653,659.01,752.4949035813,860.83,34.4168607244,0,0
211,-67,65,-95,MCS7,54.3,0.897995,43.937931,-67,65,-95,MCS7,52.3,0.873954,1.14,655.1305429864,878.17,213.9699993596,0.12,0
212,-67,65,-95,MCS7,56.9,0.899263,43.463333,-67,65,-95,MCS7,54.1,0.886016,671.07,754.3740513834,1075.89,34.4014235847,0,0
213,-74,52,-95,MCS5,39.2,0.823269,28.28,-72,52,-95,MCS5,32.6,0.729206,727.51,1170.5304967603,1588.96,119.0617817968,0,1
214,-68,65,-95,MCS7,57.2,0.825777,43.153333,-66,65,-95,MCS7,53.7,0.881019,671.21,755.1305030181,862.94,33.2279218655,0,0
215,-68,65,-95,MCS7,56.9,0.896171,43.386667,-68,65,-95,MCS7,49.8,0.728042,667.54,755.0060859189,874.65,32.6293232098,0,0
216,-67,65,-95,MCS7,56.9,0.89697,43.216667,-67,65,-95,MCS7,47.6,0.745362,671.93,757.9975983437,845.38,32.1705101582,0,0
